"recommendation_run_id","cohort_definition_id","observation_start_datetime","observation_end_datetime","run_datetime"
1,1,2022-12-30 13:48:22.502,2023-01-06 13:48:22.502,2023-01-06 13:48:23.696
2,2,2022-12-30 13:48:22.502,2023-01-06 13:48:22.502,2023-01-06 13:48:24.640
3,3,2022-12-30 13:48:22.502,2023-01-06 13:48:22.502,2023-01-06 13:48:25.389
4,4,2022-12-30 13:48:22.502,2023-01-06 13:48:22.502,2023-01-06 13:48:37.809
5,5,2022-12-30 13:48:22.502,2023-01-06 13:48:22.502,2023-01-06 13:48:43.187
6,6,2022-12-30 13:48:22.502,2023-01-06 13:48:22.502,2023-01-06 13:48:46.081
7,7,2022-12-30 13:48:22.502,2023-01-06 13:48:22.502,2023-01-06 13:48:48.298
